WMO_ID,cast_a,cast_b,gap_hours,delta_Temperature,delta_Salinity,delta_z,delta_Oxygen,suspicion_score
6901181.0,18253121,18253123,3.75,17.235685,4.844597,4.795334,0.037849,20.985685
6901181.0,18253123,18253124,2.0158,26.468986,56.364522,55.818173,0.033768,28.484786
6901181.0,18253126,18253127,0.4689,24.955161,43.547447,43.120833,0.031524,25.424061000000002
6901181.0,18253127,18253129,3.75,29.48178,39.538607,39.156387,0.042468,33.23178
6901181.0,18253129,18253131,1.6409,27.752143,39.960951,39.593491,0.028716,29.393043
6901181.0,18253134,18253135,0.4682,24.984004,11.722502,11.604831,0.007732,25.452204
6901181.0,18253135,18253137,3.6098,28.325042,7.117238,7.052559,0.007685,31.934842
6901181.0,18253137,18253140,2.7182,34.640902,54.351362,53.822053,0.021033,37.359102
6901181.0,18253141,18253142,0.375,18.680445,49.319313,48.848911,0.034436,19.055445
6901181.0,18253142,18253144,3.7031,29.187746,60.093199,59.554118,0.015788,32.890846
6901181.0,18253144,18253147,2.1091,43.58336,165.476375,163.927349,0.052839,45.69246
6901181.0,18253148,18253149,0.4212,24.505258,2.139071,2.105407,0.000617,24.926458
6901181.0,18253149,18253151,3.797,27.270132,19.317481,19.142128,0.005591,31.067132
6901181.0,18253151,18253152,2.1098,35.726388,55.425705,54.891897,0.019156,37.836188
6901181.0,18253153,18253154,0.4212,31.017535,24.679502,24.450351,0.017334,31.438734999999998
6901181.0,18253154,18253156,3.5159,26.402319,27.648638,27.388557,0.00174,29.918218999999997
6901181.0,18253156,18253157,1.8281,36.34634,52.968778,52.459499,0.023575,38.17444
6901181.0,18253158,18253159,0.375,31.053692,19.924014,19.746947,0.005634,31.428692
6901181.0,18253159,18253161,3.75,32.280384,24.604062,24.376447,0.006338,36.030384
6901181.0,18253161,18253163,2.2038,32.523401,50.46869,49.989435,0.016813,34.727201
6901181.0,18253164,18253165,0.5158,27.503429,0.89705,0.879223,0.007523,28.019229
6901181.0,18253165,18253167,3.469,30.925119,18.459277,18.290331,0.002882,34.394118999999996
6901181.0,18253167,18253168,2.109,40.90792,63.217453,62.607582,0.025379,43.01692
6901181.0,18253170,18253171,0.4219,27.770639,1.045817,1.029825,0.009231,28.192539
6901181.0,18253171,18253173,3.469,28.606679,9.609718,9.520783,0.003832,32.075679
6901181.0,18253176,18253178,4.1712,8.570264,32.896806,32.574635,0.018902,12.741464
6901181.0,18253182,18253184,4.2182,5.8093,52.194886,51.680993,0.023705,10.0275
6901181.0,18253190,18253192,3.9378,0.165604,1.221259,1.208333,0.003295,4.103404
6901181.0,18253194,18253196,4.0318,1.740026,12.572331,12.44236,0.006373,5.771826
6901181.0,18253200,18253202,4.0318,2.447181,33.347679,33.014712,0.014783,6.478980999999999
6901181.0,18253206,18253208,4.2189,0.773318,2.267928,2.246999,0.004246,4.992217999999999
6901181.0,18253212,18253214,4.0788,1.440157,50.467261,49.974596,0.033367,5.518957
6901181.0,18253221,18253223,3.9848,0.384756,57.682559,57.113997,0.024571,4.369556
6901181.0,18253225,18253227,4.4538,11.520908,178.662838,176.998338,0.069138,15.974708
6901181.0,18253231,18253233,4.0781,3.830405,5.86444,5.806126,0.005077,7.908505
6901181.0,18253237,18253239,3.9379,7.606052,4.753751,4.706322,0.009348,11.543952
6901181.0,18253251,18253253,4.125,2.362056,1.271376,1.26496,0.002842,6.487056
6901181.0,18253255,18253257,4.3598,24.076303,167.554716,165.958803,0.07246,28.436103
6901181.0,18253262,18253264,3.9848,6.053125,21.312276,21.094357,0.002691,10.037925
6901181.0,18253267,18253269,4.078,4.21279,10.333756,10.228634,0.003509,8.290790000000001
6901181.0,18253273,18253275,4.0781,0.785992,33.437441,33.098604,0.016338,4.864092
6901181.0,18253286,18253288,4.2659,4.292427,41.039652,40.628686,0.005301,8.558327
6901181.0,18253292,18253294,3.891,3.879433,55.753367,55.196372,0.02928,7.770433000000001
6901181.0,18253297,18253299,4.031,1.417797,85.148832,84.302994,0.043232,5.448797
6901181.0,18253364,18253365,5.25,10.048444,71.396282,70.619346,0.013111,15.298444
6901181.0,18253365,18253367,4.9682,6.781245,2.334118,2.311635,0.030368,11.749445000000001
6901181.0,18253368,18253369,5.3902,6.529422,171.221664,169.330461,0.029495,11.919622
6901181.0,18253369,18253372,4.781,2.343129,30.673897,30.361694,0.012443,7.124129
6901181.0,18253373,18253374,5.6712,4.865576,147.328125,145.67927,0.022218,10.536776
6901181.0,18253374,18253377,4.6409,4.920609,110.511035,109.375733,0.075518,9.561509000000001
6901181.0,18253378,18253379,5.5318,2.828601,155.051925,153.314094,0.017175,8.360401
6901181.0,18253379,18253380,4.5,2.012281,65.960972,65.275796,0.034697,6.512281
6901181.0,18253381,18253382,5.203,0.793043,203.54564,201.3149,0.033092,5.996043
6901181.0,18253382,18253383,5.203,2.964362,7.91495,7.830899,0.035242,8.167362
6901181.0,18253384,18253387,5.4372,1.813518,177.929964,175.953419,0.033065,7.250718
6901181.0,18253387,18253390,4.9219,2.602011,61.552643,60.925822,0.044429,7.523911
6901181.0,18253392,18253393,5.953,0.407709,12.232211,12.079484,0.007326,6.360709
6901181.0,18253393,18253395,4.3122,2.045916,236.610015,234.017741,0.085281,6.358116
6901181.0,18253396,18253397,5.4841,0.657449,25.750552,25.435525,0.001353,6.1415489999999995
6901181.0,18253397,18253399,4.7341,2.107324,145.079103,143.485412,0.035158,6.841424
6901181.0,18253400,18253401,5.344,2.91952,41.949737,41.457416,0.00813,8.26352
6901181.0,18253401,18253403,4.781,3.141711,188.463334,186.434477,0.06854,7.922711
6901181.0,18253407,18253408,5.2969,5.354806,24.833039,24.544181,0.016499,10.651706
6901181.0,18253408,18253410,4.6879,1.404826,205.259248,203.036186,0.070646,6.092726
6901181.0,18253411,18253412,5.156,0.288702,39.792656,39.333884,0.007904,5.4447019999999995
6901181.0,18253412,18253414,4.969,0.538901,172.571296,170.696497,0.043724,5.507901
6901181.0,18253415,18253416,5.0628,1.621957,103.837012,102.657013,0.033886,6.684757
6901181.0,18253416,18253419,5.1092,1.349718,101.924084,100.826113,0.032553,6.458918000000001
6901181.0,18253420,18253421,5.203,0.497783,136.537192,135.005091,0.031881,5.700783
6901181.0,18253421,18253424,5.0628,0.232668,74.405436,73.624201,0.051225,5.2954680000000005
6901181.0,18253428,18253429,5.3902,1.715158,43.580121,43.072929,0.01323,7.105358
6901181.0,18253429,18253430,4.828,3.665125,205.596917,203.399933,0.066963,8.493125000000001
6901181.0,18253431,18253432,5.3439,0.491019,3.174163,3.157385,0.014324,5.834918999999999
6901181.0,18253432,18253433,4.875,1.832225,202.042152,199.843707,0.067876,6.707225
